train_loss,train_acc,val_loss,val_acc,epoch_times
0.16764518854996333,0.8677288583011219,0.11133079776614481,0.9199296084469863,276.6303720474243
0.08285077273049202,0.9472989535212596,0.04533771624144694,0.9599648042234932,266.0148425102234
0.0669618225918077,0.9580465730178184,0.04383205823778935,0.9555653321601408,262.6821756362915
0.056110118136166696,0.9657773168662204,0.02876790023820049,0.9736031676198856,262.98118448257446
0.05242221468854499,0.967097199962289,0.03274170476631864,0.9758029036515619,256.59355330467224
0.04440453395842354,0.9689827472423871,0.05356835539078656,0.9480862296524417,263.7330229282379
0.043536289424922034,0.9706797397944753,0.03088305444577021,0.9784425868895732,264.01095390319824
0.03375774279524891,0.9781276515508627,0.03993288421945461,0.9758029036515619,264.34670329093933
0.03656869302857576,0.975864994814745,0.025752780669523686,0.9771227452705675,262.93406534194946
0.03578555295660224,0.9769020458187989,0.04542819562641796,0.9700835899692037,264.57881712913513
